data inicio,data termino,nome do evento,Tipo,Estado que ocorrerá,Impacto para a aviação,Dia da semana que iniciará,Dias restantes para o evento,Se terá possível emenda
2025-01-01,2025-01-01,Ano-Novo,Data Comemorativa,Todos,Baixo,Wednesday,-213,Não
2025-01-01,2025-01-01,Dia da Confraternização Universal (1º de janeiro),Data Comemorativa,Todos,Baixo,Wednesday,-213,Não
2025-01-01,2025-01-01,Dia Mundial da Paz,Data Comemorativa,Todos,Baixo,Wednesday,-213,Não
2025-01-01,2025-01-01,Início do Janeiro Branco | Saúde Mental (de 1 a 31),Data Comemorativa,Todos,Baixo,Wednesday,-213,Não
2025-01-01,2025-01-01,Início do Janeiro Roxo | Hanseníase (de 1 a 31),Data Comemorativa,Todos,Baixo,Wednesday,-213,Não
2025-01-02,2025-01-02,São Basílio Magno,Data Comemorativa,Todos,Baixo,Thursday,-212,Sim
2025-01-02,2025-01-02,Dia do Sanitarista,Data Comemorativa,Todos,Baixo,Thursday,-212,Sim
2025-01-02,2025-01-02,Dia Mundial do Introvertido,Data Comemorativa,Todos,Baixo,Thursday,-212,Sim
2025-01-02,2025-01-02,Dia do Confeiteiro,Data Comemorativa,Todos,Baixo,Thursday,-212,Sim
2025-01-03,2025-01-03,Dia do Juiz de Menores,Data Comemorativa,Todos,Baixo,Friday,-211,Não
2025-01-04,2025-01-04,Dia Nacional da Abreugrafia,Data Comemorativa,Todos,Baixo,Saturday,-210,Não
2025-01-04,2025-01-04,Dia Mundial do Braille,Data Comemorativa,Todos,Baixo,Saturday,-210,Não
2025-01-04,2025-01-04,Dia do Hemofílico,Data Comemorativa,Todos,Baixo,Saturday,-210,Não
2025-01-05,2025-01-05,Dia da Criação da Primeira Tipografia no Brasil,Data Comemorativa,Todos,Baixo,Sunday,-209,Não
2025-01-05,2025-01-05,Dia de São Nepomuceno Neumann,Data Comemorativa,Todos,Baixo,Sunday,-209,Não
2025-01-06,2025-01-06,Dia Nacional Graças a Deus É Segunda-Feira,Data Comemorativa,Todos,Baixo,Monday,-208,Não
2025-01-06,2025-01-06,Dia de Reis,Data Comemorativa,Todos,Baixo,Monday,-208,Não
2025-01-06,2025-01-06,Dia do Astrólogo,Data Comemorativa,Todos,Baixo,Monday,-208,Não
2025-01-06,2025-01-06,Dia da Gratidão,Data Comemorativa,Todos,Baixo,Monday,-208,Não
2025-01-07,2025-01-07,Dia de Não Aguentar Mais Isso,Data Comemorativa,Todos,Baixo,Tuesday,-207,Sim
2025-01-07,2025-01-07,Dia do Leitor,Data Comemorativa,Todos,Baixo,Tuesday,-207,Sim
2025-01-07,2025-01-07,Dia da Liberdade de Cultos,Data Comemorativa,Todos,Baixo,Tuesday,-207,Sim
2025-01-08,2025-01-08,Dia do Fotógrafo,Data Comemorativa,Todos,Baixo,Wednesday,-206,Não
2025-01-09,2025-01-09,Dia do Astronauta,Data Comemorativa,Todos,Baixo,Thursday,-205,Sim
2025-01-09,2025-01-09,Dia do Fico,Data Comemorativa,Todos,Baixo,Thursday,-205,Sim
2025-01-10,2025-01-10,Dia de São Gonçalo de Amarante,Data Comemorativa,Todos,Baixo,Friday,-204,Não
2025-01-11,2025-01-11,Dia do Controle da Poluição por Agrotóxicos,Data Comemorativa,Todos,Baixo,Saturday,-203,Não
2025-01-12,2025-01-12,Aniversário de Belém,Data Comemorativa,Todos,Baixo,Sunday,-202,Não
2025-01-12,2025-01-12,Dia Nacional do Empresário Contábil,Data Comemorativa,Todos,Baixo,Sunday,-202,Não
2025-01-13,2025-01-13,Dia de Realizar seus Sonhos,Data Comemorativa,Todos,Baixo,Monday,-201,Não
2025-01-13,2025-01-13,Dia de Santo Hilário de Poitiers,Data Comemorativa,Todos,Baixo,Monday,-201,Não
2025-01-14,2025-01-14,Dia de Vestir seu Pet com Roupa de Gente,Data Comemorativa,Todos,Baixo,Tuesday,-200,Sim
2025-01-14,2025-01-14,Dia Mundial da Lógica,Data Comemorativa,Todos,Baixo,Tuesday,-200,Sim
2025-01-14,2025-01-14,Dia do Enfermo,Data Comemorativa,Todos,Baixo,Tuesday,-200,Sim
2025-01-14,2025-01-14,Dia do Treinador de Futebol,Data Comemorativa,Todos,Baixo,Tuesday,-200,Sim
2025-01-15,2025-01-15,Dia do Compositor,Data Comemorativa,Todos,Baixo,Wednesday,-199,Não
2025-01-15,2025-01-15,Dia do Adulto,Data Comemorativa,Todos,Baixo,Wednesday,-199,Não
2025-01-15,2025-01-15,Dia Nacional do Jogo Limpo e de Combate ao Doping nos Esportes,Data Comemorativa,Todos,Baixo,Wednesday,-199,Não
2025-01-15,2025-01-15,Dia de Santo Amaro,Data Comemorativa,Todos,Baixo,Wednesday,-199,Não
2025-01-16,2025-01-16,"Dia de São Marcelo, Papa",Data Comemorativa,Todos,Baixo,Thursday,-198,Sim
2025-01-16,2025-01-16,Dia do Cortador de Cana-de-Açúcar,Data Comemorativa,Todos,Baixo,Thursday,-198,Sim
2025-01-17,2025-01-17,Dia de Esquecer as Resoluções de Ano Novo,Data Comemorativa,Todos,Baixo,Friday,-197,Não
2025-01-17,2025-01-17,Dia dos Tribunais de Contas do Brasil,Data Comemorativa,Todos,Baixo,Friday,-197,Não
2025-01-17,2025-01-17,Aniversário da Emancipação do Ceará,Data Comemorativa,Todos,Baixo,Friday,-197,Não
2025-01-17,2025-01-17,Dia de Santo Antão,Data Comemorativa,Todos,Baixo,Friday,-197,Não
2025-01-18,2025-01-18,Dia do Esteticista,Data Comemorativa,Todos,Baixo,Saturday,-196,Não
2025-01-18,2025-01-18,Dia da Manicure,Data Comemorativa,Todos,Baixo,Saturday,-196,Não
2025-01-18,2025-01-18,Dia da Universidade,Data Comemorativa,Todos,Baixo,Saturday,-196,Não
2025-01-18,2025-01-18,Dia Internacional do Riso,Data Comemorativa,Todos,Baixo,Saturday,-196,Não
2025-01-18,2025-01-18,Dia Nacional do Krav Maga,Data Comemorativa,Todos,Baixo,Saturday,-196,Não
