data inicio,data termino,nome do evento,Tipo,Estado que ocorrerá,Impacto para a aviação,Dia da semana que iniciará,Dias restantes para o evento,Se terá possível emenda
2025-08-05,2025-08-06,iFood Move 2025,Evento Corporativo,"São Paulo Expo - São Paulo, SP",Baixo,Tuesday,4,Sim
2025-09-03,2025-09-04,Shopee Trends,Evento Corporativo,"Komplexo Tempo - São Paulo, SP",Baixo,Wednesday,33,Não
2025-11-17,2025-11-19,"XXI Congresso Infâncias, Meio Ambiente & Sustentabilidade",Evento Corporativo,Evento Online,Baixo,Monday,108,Não
2025-08-12,2025-08-15,Rio Innovation Week - 5ª Edição,Evento Corporativo,"Pier Mauá - Rio de Janeiro, RJ",Baixo,Tuesday,11,Sim
2025-08-06,2025-08-07,Blockchain.Rio 2025,Evento Corporativo,"EXPO MAG - Rio de Janeiro, RJ",Baixo,Wednesday,5,Não
2025-08-07,2025-08-08,Customer Day 2025,Evento Corporativo,"Transamerica Expo Center - São Paulo, SP",Baixo,Thursday,6,Sim
2025-11-05,2025-11-07,RD Summit 2025 - Público Geral,Evento Corporativo,"Expo Center Norte - São Paulo, SP",Baixo,Wednesday,96,Não
2025-10-22,2025-10-23,10° CONGRESSO NACIONAL DAS MULHERES DO AGRONEGÓCIO,Evento Corporativo,"Transamerica Expo Center - São Paulo, SP",Baixo,Wednesday,82,Não
2025-09-30,2025-10-01,D2C Summit,Evento Corporativo,"Distrito Anhembi - São Paulo, SP",Baixo,Tuesday,60,Sim
2025-08-12,2025-08-13,AB2L LAWTECH EXPERIENCE 2025,Evento Corporativo,"Centro de Convenções Frei Caneca - São Paulo, SP",Baixo,Tuesday,11,Sim
2025-08-20,2025-08-21,14º WORKSHOP GAPES,Evento Corporativo,"Teatro Lauro Martins - Rio Verde, GO",Baixo,Wednesday,19,Não
2025-09-17,2025-09-17,IOB DAY 2025,Evento Corporativo,"WTC Events Center - São Paulo, SP",Baixo,Wednesday,47,Não
2025-08-21,2025-08-22,XIII CONGRESSO INTERNACIONAL IBDiC 2025,Evento Corporativo,"Hotel Pullman São Paulo Vila Olímpia - São Paulo, SP",Baixo,Thursday,20,Sim
2025-08-14,2025-08-15,Conta Azul Con 25,Evento Corporativo,"Transamerica Expo Center - São Paulo, SP",Baixo,Thursday,13,Sim
2025-09-27,2025-09-28,TOXICOLOGIA FORENSE E TRIBUNAL DO TRÁFICO,Evento Corporativo,Evento Online,Baixo,Saturday,57,Não
2025-08-20,2025-08-22,VII Congresso Nacional de Direito Agrário 2025 - Uberlândia/MG,Evento Corporativo,Evento Online,Baixo,Wednesday,19,Não
2025-08-16,2025-08-16,XII Jornada de Nutrição Roval,Evento Corporativo,"CENTRO DE EVENTOS DO RECIFE - FPS - Recife, PE",Baixo,Saturday,15,Não
2025-08-28,2025-08-30,Nutrição Brasil - Brasília,Evento Corporativo,"Centro de Convenções Ulysses Guimarães - Brasília, DF",Baixo,Thursday,27,Sim
2025-11-14,2025-11-16,ExpoCannabis Brasil 2025 - 3ª Edição,Evento Corporativo,"São Paulo Expo - São Paulo, SP",Baixo,Friday,105,Não
2025-09-13,2025-09-13,Encontro de Mulheres e Carreira em Tecnologia 2025 - Edição São Paulo,Evento Corporativo,"Teatro FECAP - São Paulo, SP",Baixo,Saturday,43,Não
2025-11-07,2025-11-08,11º Congresso Vitafor Science - Edição Recife/PE - 2025,Evento Corporativo,"50020-665 - Recife, PE",Baixo,Friday,98,Não
2025-09-11,2025-09-11,Embarcadero Conference 2025,Evento Corporativo,"Amcham Brasil | Business Center - São Paulo, SP",Baixo,Thursday,41,Sim
2025-08-16,2025-08-17,Perícia em Casos de Feminicídios: Conhecendo o lobo em pele de cordeiro,Evento Corporativo,Evento Online,Baixo,Saturday,15,Não
